page,product_id,name,tier_1,tier_2,tier_3,tier_4,tier_5
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_black,Black,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_boning,Boning,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_bra_cups,Bra Cups,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_large,Large,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_medium,Medium,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_r,R ####,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_shoulder_pads_and_rolls,Shoulder Pads & Rolls,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_skin_tone,Skin Tone,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_small,Small,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_type_a,Type A,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_type_b,Type B,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_type_c,Type C,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_type_d,Type D,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_white,White,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_xl,XL,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_xxl,XXL,,,,,
BoningBraCupsShoulderPads.html,boningbracupsshoulderpads_xxxl,XXXL,,,,,
adhesives.html,adhesives_100ml,100ml,,,,,
adhesives.html,adhesives_50ml,50ml,,,,,
adhesives.html,adhesives_craft_glue,Craft Glue,,,,,
adhesives.html,adhesives_fabric_glue,Fabric Glue,,,,,
adhesives.html,adhesives_r_item_price_item_qty_tofixed_2,R ${(item.price * item.qty).toFixed(2)},,,,,
art&Paint.html,art_and_paint_acrylic_paint_12_pack,Acrylic Paint 12 Pack,,,,,
art&Paint.html,art_and_paint_acrylic_paint_35ml_18pc,Acrylic Paint 35ml 18pc,,,,,
art&Paint.html,art_and_paint_acrylic_paint_35ml_30pc,Acrylic Paint 35ml 30pc,,,,,
art&Paint.html,art_and_paint_acrylic_paint_35ml_42pc,Acrylic Paint 35ml 42pc,,,,,
art&Paint.html,art_and_paint_canvas_boards,Canvas Boards,,,,,
art&Paint.html,art_and_paint_ethnic_tape,Ethnic Tape,,,,,
art&Paint.html,art_and_paint_fabric_paint,Fabric Paint,,,,,
art&Paint.html,art_and_paint_oil_paint_12_pack,Oil Paint 12 Pack,,,,,
art&Paint.html,art_and_paint_paint_brushes,Paint Brushes,,,,,
art&Paint.html,art_and_paint_paint_trays,Paint Trays,,,,,
art&Paint.html,art_and_paint_r,R ####,,,,,
art&Paint.html,art_and_paint_water_paint_12_pack,Water Paint 12 Pack,,,,,
beadsAndKits.html,beadsandkits_bead_kits,Bead Kits,,,,,
beadsAndKits.html,beadsandkits_bead_setting_machine,Bead Setting Machine,,,,,
beadsAndKits.html,beadsandkits_bead_setting_machines,Bead Setting Machines,,,,,
beadsAndKits.html,beadsandkits_beads,Beads,,,,,
beadsAndKits.html,beadsandkits_beads_10mm,Beads - 10mm,,,,,
beadsAndKits.html,beadsandkits_beads_12mm,Beads - 12mm,,,,,
